country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","01-02-2024 11:00:00",30.379589,76.778328,NO2,2,3,3
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","01-02-2024 11:00:00",30.379589,76.778328,CO,30,60,53
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","01-02-2024 11:00:00",30.379589,76.778328,OZONE,29,49,35
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","01-02-2024 11:00:00",28.6701,76.9254,PM10,30,244,124
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","01-02-2024 11:00:00",28.3419248,77.319699,PM2.5,14,319,152
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","01-02-2024 11:00:00",28.3419248,77.319699,SO2,8,131,32
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","01-02-2024 11:00:00",28.806223,76.141105,PM2.5,50,193,117
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","01-02-2024 11:00:00",28.593883,76.270653,PM10,43,181,114
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","01-02-2024 11:00:00",28.206800,76.799700,PM2.5,NA,NA,NA
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","01-02-2024 11:00:00",28.206800,76.799700,PM10,NA,NA,NA
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","01-02-2024 11:00:00",28.376058,77.315741,NH3,6,6,6
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","01-02-2024 11:00:00",28.4417,77.3217,SO2,NA,NA,NA
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","01-02-2024 11:00:00",28.4417,77.3217,CO,NA,NA,NA
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","01-02-2024 11:00:00",28.4417,77.3217,OZONE,NA,NA,NA
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","01-02-2024 11:00:00",29.503664,75.467934,NO2,29,31,30
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","01-02-2024 11:00:00",29.503664,75.467934,NH3,10,10,10
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","01-02-2024 11:00:00",28.422681,77.148944,CO,NA,NA,NA
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","01-02-2024 11:00:00",28.422681,77.148944,OZONE,NA,NA,NA
